,offence,Highest Offense Code,Occurred Date Time,Date,Time,LocType,Address,Zip Code,Council District,X,Y,Latitude,Longitude,Location
36997,BURGLARY OF RESIDENCE,500,02/18/2019 11:19:00 AM,18-02-2019,1119,RESIDENCE / HOME,9701 NORTH CREEK DR,78753,4,3130334,3130334,30.36331735,-97.68943489,"(30.36331735, -97.68943489)"
37038,BURGLARY OF VEHICLE,601,03-09-2019 11:00,09-03-2019,1100,PARKING LOTS / GARAGE,1200 W CESAR CHAVEZ ST,78703,9,3109198,3109198,30.26859453,-97.7589995,"(30.26859453, -97.7589995)"
37063,BURGLARY OF VEHICLE,601,02/27/2019 05:15:00 PM,27-02-2019,1715,PARKING LOTS / GARAGE,2901 S CAPITAL OF TEXAS HWY NB,78746,8,3094135,3094135,30.25788603,-97.80700704,"(30.25788603, -97.80700704)"
37069,THEFT,600,03-10-2019 17:45,10-03-2019,1745,GROCERY / SUPERMARKET,5808 BURNET RD,78756,7,3114295,3114295,30.33425261,-97.74108649,"(30.33425261, -97.74108649)"
37073,BURGLARY OF VEHICLE,601,01/21/2019 11:23:00 AM,21-01-2019,1123,STREETS / HWY / ROAD / ALLEY,2608 EUCLID AVE,78704,3,3109621,3109621,30.23723346,-97.75849563,"(30.23723346, -97.75849563)"
37115,THEFT,600,03-12-2019 16:56,12-03-2019,1656,RESIDENCE / HOME,10000 N LAMAR BLVD,78758,4,3128495,3128495,30.36926216,-97.69510501,"(30.36926216, -97.69510501)"
37138,THEFT,600,03-08-2019 15:30,08-03-2019,1530,PARK / PLAYGROUND,2100 BARTON SPRINGS RD,78746,8,3106393,3106393,30.26776386,-97.76790929,"(30.26776386, -97.76790929)"
37142,AUTO THEFT,700,02/16/2019 08:15:00 PM,16-02-2019,2015,PARKING LOTS / GARAGE,6201 SNEED CV,78744,2,3108421,3108421,30.19394123,-97.76344868,"(30.19394123, -97.76344868)"
37150,THEFT OF LICENSE PLATE,614,03-02-2019 19:20,02-03-2019,1920,RESIDENCE / HOME,1640 CHIPPEWAY LN,78745,2,3096984,3096984,30.20447873,-97.79938261,"(30.20447873, -97.79938261)"
37163,THEFT BY SHOPLIFTING,607,03-06-2019 20:23,06-03-2019,2023,GROCERY / SUPERMARKET,5017 W US 290 HWY EB,78749,8,3089186,3089186,30.23228583,-97.82335167,"(30.23228583, -97.82335167)"
37195,BURGLARY OF VEHICLE,601,03/13/2019 07:00:00 PM,13-03-2019,1900,PARK / PLAYGROUND,3918 S MOPAC EXPY SVRD SB,78746,8,3093271,3093271,30.24418181,-97.81010245,"(30.24418181, -97.81010245)"
37210,THEFT FROM AUTO,603,03-02-2019 12:00,02-03-2019,1200,PARKING LOTS / GARAGE,1611 AIRPORT COMMERCE DR,78741,3,3131508,3131508,30.22152535,-97.68959807,"(30.22152535, -97.68959807)"
37226,THEFT,600,01/31/2019 12:07:00 PM,31-01-2019,1207,COMMERCIAL / OFFICE BUILDING,1340 AIRPORT COMMERCE DR,78741,3,3132289,3132289,30.22428632,-97.68704897,"(30.22428632, -97.68704897)"
37227,THEFT,600,02/27/2019 03:40:00 AM,27-02-2019,340,RESIDENCE / HOME,1706 ROYAL HILL DR,78741,3,3114992,3114992,30.22781937,-97.74173559,"(30.22781937, -97.74173559)"
37251,THEFT BY SHOPLIFTING,607,02/14/2019 10:45:00 AM,14-02-2019,1045,GROCERY / SUPERMARKET,3909 N IH 35 SVRD NB,78722,9,3122010,3122010,30.29622061,-97.71765563,"(30.29622061, -97.71765563)"
37254,THEFT,600,03-12-2019 12:00,12-03-2019,1200,DEPARTMENT / DISCOUNT STORE,5555 N LAMAR BLVD,78751,4,3119230,3119230,30.32369603,-97.7257244,"(30.32369603, -97.7257244)"
37259,BURGLARY OF VEHICLE,601,03-08-2019 22:00,08-03-2019,2200,STREETS / HWY / ROAD / ALLEY,42 EAST AVE,78701,9,3115630,3115630,30.25618498,-97.73895296,"(30.25618498, -97.73895296)"
37294,AUTO THEFT,700,03-11-2019 23:45,11-03-2019,2345,GAS / SERVICE STATIONS,6121 FM 969 RD,78725,1,3139218,3139218,30.28488478,-97.66342878,"(30.28488478, -97.66342878)"
37295,THEFT,600,02-10-2019 13:00,10-02-2019,1300,RESTAURANTS,11601 DOMAIN DR,78758,7,3119159,3119159,30.4027355,-97.72381184,"(30.4027355, -97.72381184)"
37334,BREACH OF COMPUTER SECURITY,1109,01/23/2019 12:00:00 PM,23-01-2019,1200,RESIDENCE / HOME,8600 RESEARCH BLVD SVRD SB,78757,7,3121495,3121495,30.36204465,-97.71750387,"(30.36204465, -97.71750387)"
37360,BURGLARY OF RESIDENCE,500,01/25/2019 11:00:00 AM,25-01-2019,1100,RESIDENCE / HOME,2000 BURTON DR,78741,3,3117931,3117931,30.23334836,-97.73227827,"(30.23334836, -97.73227827)"
37366,AUTO THEFT,700,03-05-2019 20:00,05-03-2019,2000,PARKING LOTS / GARAGE,2717 S LAMAR BLVD,78704,5,3102594,3102594,30.24339359,-97.78059078,"(30.24339359, -97.78059078)"
37426,ROBBERY BY ASSAULT,303,01/24/2019 04:38:00 PM,24-01-2019,1638,DEPARTMENT / DISCOUNT STORE,3311 ESPERANZA XING,78758,7,3118196,3118196,30.40007896,-97.72693922,"(30.40007896, -97.72693922)"
37441,BURGLARY OF VEHICLE,601,03-10-2019 00:30,10-03-2019,30,STREETS / HWY / ROAD / ALLEY,1000 E 6TH ST,78702,3,3117645,3117645,30.26520925,-97.73232606,"(30.26520925, -97.73232606)"
37453,BURGLARY OF VEHICLE,601,03-02-2019 03:18,02-03-2019,318,STREETS / HWY / ROAD / ALLEY,CUMMINGS ST / EAST AVE,78701,9,3115653,3115653,30.25546606,-97.73889941,"(30.25546606, -97.73889941)"
37475,BURGLARY OF VEHICLE,601,02/24/2019 07:30:00 PM,24-02-2019,1930,RESTAURANTS,7300 S IH 35 SVRD SB,78745,2,3104638,3104638,30.18456274,-97.77567421,"(30.18456274, -97.77567421)"
37501,THEFT,600,03-10-2019 16:53,10-03-2019,1653,DEPARTMENT / DISCOUNT STORE,11200 LAKELINE MALL DR,78613,6,3092523,3092523,30.47055591,-97.80654856,"(30.47055591, -97.80654856)"
37524,BURGLARY NON RESIDENCE,502,03-11-2019 01:10,11-03-2019,110,RESTAURANTS,6640 E US 290 HWY SVRD WB,78752,1,3129496,3129496,30.32214792,-97.69321973,"(30.32214792, -97.69321973)"
37525,THEFT BY SHOPLIFTING,607,03-11-2019 12:57,11-03-2019,1257,DEPARTMENT / DISCOUNT STORE,1030 NORWOOD PARK BLVD,78753,4,3129996,3129996,30.3391525,-97.69116892,"(30.3391525, -97.69116892)"
37533,THEFT,600,02/18/2019 05:40:00 PM,18-02-2019,1740,HOTEL / MOTEL / ETC.,13689 N US 183 HWY SVRD NB,78729,6,3097753,3097753,30.45691808,-97.79030254,"(30.45691808, -97.79030254)"
37571,BURGLARY OF VEHICLE,601,02/28/2019 08:35:00 PM,28-02-2019,2035,STREETS / HWY / ROAD / ALLEY,2713 E 2ND ST,78702,3,3123871,3123871,30.25386442,-97.71290727,"(30.25386442, -97.71290727)"
